6624,15080,896,-239,88,-158,-608,15856,2744,-407,-109,-169
6508,14828,748,-67,168,-23,-572,15832,2728,-153,82,-201
6472,14912,844,90,277,124,-496,15640,2788,-121,203,-221
6676,15104,904,-105,206,-290,-332,15528,2576,-465,70,-370
6560,14888,920,-96,236,-338,-392,15684,2680,-520,32,-351
6472,14952,832,60,184,-72,-400,15908,2652,-180,160,-338
6540,15184,880,15,229,-93,-436,15728,2584,-234,129,-254
6528,14820,960,-85,250,-37,-416,15752,2624,-280,97,-134
6744,14960,944,6,233,-9,-472,15688,2524,-170,127,-217
6680,15088,972,-76,228,-150,-324,15764,2480,-369,74,-274
6588,14980,868,-68,198,-239,-412,15788,2708,-410,40,-296
6640,15056,916,44,271,-122,-548,15768,2648,-274,188,-321
6904,15048,908,54,239,15,-428,15728,2548,-148,137,-269
6660,14976,1064,-110,224,1,-308,15740,2572,-247,35,-106
6668,14912,900,-175,231,-137,-348,15572,2588,-334,46,-160
6524,14920,1028,-34,294,-84,-356,15632,2504,-308,156,-194
6528,14896,912,41,138,-222,-292,15800,2620,-276,120,-442
6548,14896,968,1,199,-341,-268,15740,2484,-421,136,-443
6344,15148,356,-343,28,-203,368,15764,1876,-193,-147,-302
5404,17708,580,-5005,-5155,-960,2032,14352,2356,-1920,-7575,303
7916,12924,2428,-6385,-3936,-1854,-2304,17028,4336,-3565,-6729,1487
8676,12072,2868,1790,2084,738,-2972,16808,4308,1141,3137,-306
6468,14472,372,7122,5494,2646,272,15940,2384,3486,8581,-1257
4280,18308,-740,691,454,927,3940,13976,960,496,154,-185
7780,14708,2060,-5215,-2599,-2502,-1324,16092,3696,-3824,-5039,1223
8172,12856,1940,499,1373,259,-1736,16960,3196,231,1594,-55
6396,15084,1172,2495,2187,1268,1024,15440,2424,1278,3135,-500
6272,15408,1100,374,-251,151,1244,15332,2116,318,-117,-630
7120,14688,1532,-567,-725,-660,-500,15440,2820,-609,-1046,-573
7364,14884,1484,225,295,200,-276,15836,2628,-79,269,-211
7052,14904,1332,158,1050,92,80,15788,2540,-311,903,169
6876,14868,1136,52,812,32,160,15768,2560,-248,624,23
7076,14596,1468,82,560,137,388,15780,2328,-181,416,9
6848,14796,1304,39,532,-91,152,15760,2492,-403,428,-169
6880,14588,1376,-78,462,-269,328,15844,2440,-345,344,-252
6984,14876,1292,13,309,-120,312,15860,2680,-369,183,-250
7044,14796,1328,-2,148,-273,332,15700,2564,-370,82,-393
7176,14780,1376,-38,191,-294,140,15860,2560,-426,115,-366
7100,14768,1376,105,257,-264,60,15792,2516,-390,218,-437
6936,14804,1448,8,360,-223,248,15764,2584,-351,248,-284
6808,14836,1148,6,275,-165,112,15884,2540,-363,175,-300
